Filters:
"In program","'Residential/Community Developer'"


"Parcel ID","Address","Owners"
="16222220190000","1449 S KOMENSKY AVE, Chicago, IL, 60623","-"
="16231140200000","1449 S PULASKI RD, Chicago, IL, 60623","-"
="16222220200000","1451 S KOMENSKY AVE, Chicago, IL, 60623","-"
="16231150400000","1452 S SPRINGFIELD AVE, Chicago, IL, 60623","-"
="16231140220000","1455 S PULASKI RD, Chicago, IL, 60623","-"
="16222190380000","1456 S KEDVALE AVE, Chicago, IL, 60623","-"
="16222290020000","1503 S KARLOV AVE, Chicago, IL, 60623","-"
="25203010070000","1509 W 115TH ST, Chicago, IL, 60643","-"
="16222240240000","1518 S KILDARE AVE, Chicago, IL, 60623","-"
="16231260210000","1520 S RIDGEWAY AVE, Chicago, IL, 60623","-"
="16231250070000","1521 S AVERS AVE, Chicago, IL, 60623","-"
="16222240070000","1521 S KOLIN AVE, Chicago, IL, 60623","-"
="16222240250000","1522 S KILDARE AVE, Chicago, IL, 60623","-"
="16202300080000","1523 S 57TH AVE, Cicero, IL, 60804","-"
="16221170090000","1525 S KENNETH AVE, Chicago, IL, 60623","-"
="16222260110000","1529 S TRIPP AVE, Chicago, IL, 60623","-"
="16241050070000","1531 S KEDZIE AVE, Chicago, IL, 60623","-"
="16222260120000","1531 S TRIPP AVE, Chicago, IL, 60623","-"
="16222270300000","1532 S KEDVALE AVE, Chicago, IL, 60623","-"
="16221170470000","1534 S KOSTNER AVE, Chicago, IL, 60623","-"
="16231290330000","1536 S CENTRAL PARK AVE, Chicago, IL, 60623","-"
="16231260260000","1536 S RIDGEWAY AVE, Chicago, IL, 60623","-"
="16231290340000","1538 S CENTRAL PARK AVE, Chicago, IL, 60623","-"
="16221150320000","1538 S KILBOURN AVE, Chicago, IL, 60623","-"
="16241060010000","1541 S KEDZIE AVE, Chicago, IL, 60623","-"
="16241060020000","1543 S KEDZIE AVE, Chicago, IL, 60623","-"
="16222230330000","1548 S KOLIN AVE, Chicago, IL, 60623","-"
="16232260420000","1552 S CHRISTIANA AVE, Chicago, IL, 60623","-"
="16232290210000","1555 S SAWYER AVE, Chicago, IL, 60623","-"
="16232260430000","1558 S CHRISTIANA AVE, Chicago, IL, 60623","-"
="16232280210000","1559 S SPAULDING AVE, Chicago, IL, 60623","-"
="16241060070000","1561 S KEDZIE AVE, Chicago, IL, 60623","-"
="16234030010000","1601 S TRUMBULL AVE, Chicago, IL, 60623","-"
="16234010440000","1602 S SAINT LOUIS AVE, Chicago, IL, 60623","-"
="16234010220000","1606 S SAINT LOUIS AVE, Chicago, IL, 60623","-"
="16234020020000","1607 S SAINT LOUIS AVE, Chicago, IL, 60623","-"
="16234010230000","1608 S SAINT LOUIS AVE, Chicago, IL, 60623","-"
